BL_installed,Factor_V2G,Grid_Store_Max,Wind_Installed,Solar_Installed,CR,Cap,V2G_Connect_Cost,Power_Capacity
20000.0,0.3,30000.0,15.625,50000.0,0.0259,0.8,2000,369466047.79
20000.0,0.3,30000.0,15.625,50000.0,0.0331,0.8,2000,369466047.79
20000.0,0.3,30000.0,15.625,50000.0,0.0403,0.8,2000,369466047.79
20000.0,0.3,30000.0,15.625,50000.0,0.0475,0.8,2000,369466047.79
20000.0,0.3,30000.0,18.75,20000.0,0.0187,0.8,2000,323125229.50000006
20000.0,0.3,30000.0,18.75,20000.0,0.0259,0.8,2000,323125229.50000006
20000.0,0.3,30000.0,18.75,20000.0,0.0331,0.8,2000,323125229.50000006
20000.0,0.3,30000.0,18.75,20000.0,0.0403,0.8,2000,323125229.50000006
20000.0,0.3,30000.0,18.75,20000.0,0.0475,0.8,2000,323125229.50000006
20000.0,0.3,30000.0,18.75,30000.0,0.0187,0.8,2000,345211666.39000005
20000.0,0.3,30000.0,18.75,30000.0,0.0259,0.8,2000,345211666.39000005
20000.0,0.3,30000.0,18.75,30000.0,0.0331,0.8,2000,345211666.39000005
20000.0,0.3,30000.0,18.75,30000.0,0.0403,0.8,2000,345211666.39000005
20000.0,0.3,30000.0,18.75,30000.0,0.0475,0.8,2000,345211666.39000005
20000.0,0.3,30000.0,18.75,40000.0,0.0187,0.8,2000,367298103.28000003
20000.0,0.3,30000.0,18.75,40000.0,0.0259,0.8,2000,367298103.28000003
20000.0,0.3,30000.0,18.75,40000.0,0.0331,0.8,2000,367298103.28000003
20000.0,0.3,30000.0,18.75,40000.0,0.0403,0.8,2000,367298103.28000003
20000.0,0.3,30000.0,18.75,40000.0,0.0475,0.8,2000,367298103.28000003
20000.0,0.3,30000.0,18.75,50000.0,0.0187,0.8,2000,389384540.17
20000.0,0.3,30000.0,18.75,50000.0,0.0259,0.8,2000,389384540.17
20000.0,0.3,30000.0,18.75,50000.0,0.0331,0.8,2000,389384540.17
20000.0,0.3,30000.0,18.75,50000.0,0.0403,0.8,2000,389384540.17
20000.0,0.3,30000.0,18.75,50000.0,0.0475,0.8,2000,389384540.17
20000.0,0.5,10000.0,15.625,50000.0,0.0187,0.8,2000,369466047.79
20000.0,0.5,10000.0,15.625,50000.0,0.0259,0.8,2000,369466047.79
20000.0,0.5,10000.0,15.625,50000.0,0.0331,0.8,2000,369466047.79
20000.0,0.5,10000.0,15.625,50000.0,0.0403,0.8,2000,369466047.79
20000.0,0.5,10000.0,15.625,50000.0,0.0475,0.8,2000,369466047.79
20000.0,0.5,10000.0,18.75,30000.0,0.0187,0.8,2000,345211666.39000005
20000.0,0.5,10000.0,18.75,30000.0,0.0259,0.8,2000,345211666.39000005
20000.0,0.5,10000.0,18.75,30000.0,0.0331,0.8,2000,345211666.39000005
20000.0,0.5,10000.0,18.75,30000.0,0.0403,0.8,2000,345211666.39000005
20000.0,0.5,10000.0,18.75,30000.0,0.0475,0.8,2000,345211666.39000005
20000.0,0.5,10000.0,18.75,40000.0,0.0187,0.8,2000,367298103.28000003
20000.0,0.5,10000.0,18.75,40000.0,0.0259,0.8,2000,367298103.28000003
20000.0,0.5,10000.0,18.75,40000.0,0.0331,0.8,2000,367298103.28000003
20000.0,0.5,10000.0,18.75,40000.0,0.0403,0.8,2000,367298103.28000003
20000.0,0.5,10000.0,18.75,40000.0,0.0475,0.8,2000,367298103.28000003
20000.0,0.5,10000.0,18.75,50000.0,0.0187,0.8,2000,389384540.17
20000.0,0.5,10000.0,18.75,50000.0,0.0259,0.8,2000,389384540.17
